2025-08-21 10:15:22 status unpacked intel-microcode:amd64 3.20250512.0ubuntu0.24.04.1
2025-08-21 10:15:22 status half-configured intel-microcode:amd64 3.20250512.0ubuntu0.24.04.1
2025-08-21 10:15:22 status installed intel-microcode:amd64 3.20250512.0ubuntu0.24.04.1
2025-08-21 10:15:22 status triggers-pending initramfs-tools:all 0.142ubuntu25.5
2025-08-21 10:15:22 configure amd64-microcode:amd64 3.20250311.1ubuntu0.24.04.1 <none>
2025-08-21 10:15:22 status unpacked amd64-microcode:amd64 3.20250311.1ubuntu0.24.04.1
2025-08-21 10:15:22 status half-configured amd64-microcode:amd64 3.20250311.1ubuntu0.24.04.1
2025-08-21 10:15:22 status installed amd64-microcode:amd64 3.20250311.1ubuntu0.24.04.1
2025-08-21 10:15:22 configure microcode-initrd:amd64 3build1 <none>
2025-08-21 10:15:22 status unpacked microcode-initrd:amd64 3build1
2025-08-21 10:15:22 status half-configured microcode-initrd:amd64 3build1
2025-08-21 10:15:23 status installed microcode-initrd:amd64 3build1
2025-08-21 10:15:23 configure linux-aws-6.14-headers-6.14.0-1011:all 6.14.0-1011.11~24.04.1 <none>
2025-08-21 10:15:23 status unpacked linux-aws-6.14-headers-6.14.0-1011:all 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 status half-configured linux-aws-6.14-headers-6.14.0-1011:all 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 status installed linux-aws-6.14-headers-6.14.0-1011:all 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 configure linux-headers-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1 <none>
2025-08-21 10:15:23 status unpacked linux-headers-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 status half-configured linux-headers-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 status installed linux-headers-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 configure linux-tools-common:all 6.8.0-78.78 <none>
2025-08-21 10:15:23 status unpacked linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:23 status half-configured linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:23 status installed linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:23 configure linux-aws-6.14-tools-6.14.0-1011:amd64 6.14.0-1011.11~24.04.1 <none>
2025-08-21 10:15:23 status unpacked linux-aws-6.14-tools-6.14.0-1011:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 status half-configured linux-aws-6.14-tools-6.14.0-1011:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 status installed linux-aws-6.14-tools-6.14.0-1011:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 configure linux-headers-aws:amd64 6.14.0-1011.11~24.04.1 <none>
2025-08-21 10:15:23 status unpacked linux-headers-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 status half-configured linux-headers-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 status installed linux-headers-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 configure linux-tools-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1 <none>
2025-08-21 10:15:23 status unpacked linux-tools-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 status half-configured linux-tools-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 status installed linux-tools-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 configure linux-image-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1 <none>
2025-08-21 10:15:23 status unpacked linux-image-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:23 status half-configured linux-image-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:24 status installed linux-image-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:24 status triggers-pending linux-image-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:24 configure linux-modules-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1 <none>
2025-08-21 10:15:24 status unpacked linux-modules-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
